description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm1248	1	1		100	16	361	982		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm1249	1	1		100	16	361	1000		2	"helm,crf,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm1250																	void																																																																																							0
cm1251																	void																																																																																							0
cm1252																	void																																																																																							0
cm1253	1	1		100	16	361	295		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1254	1	1		100	16	361	340		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm1255	1	1		100	16	361	385		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		8	14																																																																					0
cm1256	1	1		100	16	361	430		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		35	40																																																																					0
cm1257	1	1		100	16	361	475		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		35	40																																																																					0
cm1258	1	1		100	16	361	520		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		35	40																																																																					0
cm1259	1	1		100	16	361	565		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		35	40																																																																					0
cm1260	1	1		100	16	361	610		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1261																	void																																																																																							0
cm1262	1	1		100	16	361	640		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1263	1	1		100	16	361	670		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1264	1	1		100	16	361	700		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		73	73	pr270	100		1001	1001	pr16	100		5	10	pr82	100		10	20																																																																0
cm1265	1	1		100	16	361	730		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		48	48	pr270	100		1001	1001	pr242	100		1	1																																																																					0
cm1266	1	1		100	16	361	760		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1267	1	1		100	16	361	790		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		46	46	pr270	100		1001	1001	pr3	100		6	10																																																																					0
cm1268	1	1		100	16	361	820		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		47	47	pr270	100		1001	1001	pr6	100		6	10																																																																					0
cm1269	1	1		100	16	361	850		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm1270																	void																																																																																							0
cm1271	1	1		100	16	361	869		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1272	1	1		100	16	361	888		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1273	1	1		100	16	361	907		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		22	30																																																																					0
cm1274	1	1		100	16	361	925		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1275	1	1		100	16	361	944		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		15	20																																																																0
cm1276	1	1		100	16	361	963		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		15	20																																																																0
cm1277	1	1		100	16	361	982		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		15	20																																																																0
cm1278	1	1		100	16	361	1000		2	"shld,mag,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		15	20																																																																0
cm1279																	void																																																																																							0
cm1280	1	1		100	16	361	295		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1281	1	1		100	16	361	340		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm1282	1	1		100	16	361	385		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		8	14																																																																					0
cm1283	1	1		100	16	361	430		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		35	40																																																																					0
cm1284	1	1		100	16	361	475		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		35	40																																																																					0
cm1285	1	1		100	16	361	520		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		35	40																																																																					0
cm1286	1	1		100	16	361	565		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		35	40																																																																					0
cm1287	1	1		100	16	361	610		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm1288																	void																																																																																							0
cm1289	1	1		100	16	361	640		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm1290	1	1		100	16	361	670		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm1291	1	1		100	16	361	700		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		73	73	pr270	100		1001	1001	pr16	100		5	10	pr82	100		10	20																																																																0
cm1292	1	1		100	16	361	730		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		48	48	pr270	100		1001	1001	pr242	100		1	1																																																																					0
cm1293	1	1		100	16	361	760		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm1294	1	1		100	16	361	790		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		46	46	pr270	100		1001	1001	pr3	100		6	10																																																																					0
cm1295	1	1		100	16	361	820		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		47	47	pr270	100		1001	1001	pr6	100		6	10																																																																					0
cm1296	1	1		100	16	361	850		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		42	42	pr270	100		1001	1001	pr85	100		10	10																																																																					0
cm1297																	void																																																																																							0
cm1298	1	1		100	16	361	869		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm1299	1	1		100	16	361	888		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm1300	1	1		100	16	361	907		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		22	30																																																																					0
cm1301	1	1		100	16	361	925		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm1302	1	1		100	16	361	944		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		15	20																																																																0
cm1303	1	1		100	16	361	963		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		15	20																																																																0
cm1304	1	1		100	16	361	982		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		15	20																																																																0
cm1305	1	1		100	16	361	1000		2	"shld,rar,sock"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		15	20																																																																0
cm1306																	void																																																																																							0
cm1307	1	1		100	16	361	295		2	"shld,set,sock"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm1308	1	1		100	16	361	340		2	"shld,set,sock"	"wss,qty=1"						useitem			100	pr269	100		34	34	pr270	100		1001	1001	pr53	100		15	25																																																																					0
cm1309	1	1		100	16	361	385		2	"shld,set,sock"	"wss,qty=1"						useitem			100	pr269	100		35	35	pr270	100		1001	1001	pr79	100		8	14																																																																					0
cm1310	1	1		100	16	361	430		2	"shld,set,sock"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		35	40																																																																					0
